the_geom,sector,reporting_,county,landfill_n,permit_num,cartodb_id,address,city,zip_code,latitude,longitude,tipping_fe
0101000020E6100000885EA94E723F55C057DEF1FEA9F84040,Private,2015,Paulding,"Greentree Recycling, LLC Inert Landfill",PBR-110-23IL,51,876 Yorkville Pass,Rockmart,30153,33.942686,-84.991356,
0101000020E6100000CE172DA1032155C03E39142278464140,Private,2015,Pickens,K&M Inert Landfill,PBR-112-07IL,52,1714 Old Whitestone Rd.,Talking Rock,30175,34.550539,-84.515843,
0101000020E6100000186FA758871955C0F035512653374140,Private,2015,Pickens,L&H Johnson Inert Waste Landfill,PBR-112-11IL,53,"SR 53, 1.4 miles north of SR 108",Jasper,30143,34.432222,-84.398889,
0101000020E610000093DF2D504FDF54C0E3DE4EC0B9274040,Public,2015,Pulaski,City of Hawkinsville Inert Landfill,PBR-116-06IL,54,Anderson Gift Road,Hawkinsville,31036,32.310358,-83.489217,
0101000020E6100000A47A37881E4555C01F0843A669E13F40,Public,2015,Quitman,Quitman Co. Board of Commissioners Inert Landfill,PBR-118-02IL,55,US 82 and SR 50,Georgetown,31754,31.880517,-85.079992,
0101000020E6100000BDA1E674447F54C0B69D3BA851384040,Private,2015,Richmond,Mabus Inert Landfill,PBR-121-108IL,56,SE corner of Carolina Road and Gordon Highway,Augusta,30901,32.439989,-81.988556,
0101000020E61000008930699F978754C06044F43663B04040,Private,2015,Richmond,"Eric Melchior Hauling Co., Inc. Inert Landfill",PBR-121-150IL,57,3902 Karleen Rd.,Hephzibah,30815,33.378028,-82.118633,
0101000020E6100000CE5FA9B4E6FE54C0AB2532D40EDF4040,Private,2015,Rockdale,Jonny Brown-Chandler Road Inert Landfill,PBR-122-01IL,58,1920 Chandler Rd.,Conyers,30012,33.742639,-83.982833,
0101000020E61000005A49B00FF15F54C0DBA2BC5E966D4040,Private Commercial,2015,Screven,Pine Lawn Inert Landfill,PBR-124-09IL,59,1501 Old River Rd.,Sylvania,30467,32.856153,-81.499086,
0101000020E6100000E4081B54CCD354C0129359B96D454040,Public,2015,Stephens,Stephens Co. C&D and Inert Landfill,PBR-127-003D(SL),60,"SR 145, 6200 Landfill Circle",Toccoa,30577,32.542411,-83.30935,
0101000020E6100000E04B8B62C9D354C00E53B6A815454140,Public,2015,Stephens,Stephens Co. Inert Landfill,PBR-127-01IL,61,Old Liberty Hill Road,Toccoa,30577,34.539722,-83.309167,
0101000020E6100000A35975C4A41C55C018FC777118C13F40,Public,2015,Terrell,City of Dawson Inert Landfill,PBR-135-14IL,62,827 Herod Hwy.,Dawson,39842,31.754283,-84.447556,
0101000020E610000094CACAF665E254C0455ADCEFC95C3F40,Public,2015,Tift,City of Tifton Inert Landfill,PBR-137-016IL,63,445 Mitchell Store Rd./455,Tifton,31794,31.362459,-83.537477,
0101000020E6100000C5DE5EFA6BF054C0DCBD33A6D0EA4040,Public,2015,Walton,Walton Co. Board of Commissioners Inert Landfill,PBR-147-06IL,64,"4 miles NW of Monroe on Roscoe Davis Road, adjacent to exit",Monroe,30655,33.834492,-83.756594,
0101000020E6100000E1BE9D97B5F554C05BAE6DB0BCF04040,Private,2015,Walton,"81 Inert Disposal, Inc. Inert Landfill",PBR-147-14IL,65,6444 Hwy. 81 North,Loganville,30052,33.880755,-83.839209,
0101000020E6100000EEEFBF1070E354C0D974EF160FE54040,Private,2015,Walton,Holder's Good Hope Inert Landfill,PBR-147-35IL,66,2370 Preston Rd.,Good Hope,30641,33.789521,-83.553714,
0101000020E610000027265BDCA1ED54C095467B801DE24040,Private,2015,Walton,Holder's Monroe Inert Landfill,PBR-147-37IL,67,805 Adamson Rd.,Monroe,30655,33.766527,-83.713001,
0101000020E6100000D72144A4187654C01EA6157CEBA93F40,Private,2015,Wayne,"Itt Rayonier, Inc. Inert Landfill",PBR-151-ABIL,68,4470 Savannah Hwy.,Jesup,31545,31.663753,-81.845251,
0101000020E610000004385A56FCEB54C0491293D68C414140,Private,2015,White,Sills Brothers Grading Inert Landfill,PBR-154-11IL,69,837 New Bridge Rd.,Cleveland,30528,34.512107,-83.687276,
0101000020E6100000F5C4C71CE9CC54C0E6DBE01BFF6A4040,Private,2015,Wilkinson,McIntyre Plant Inert Landfill,PBR-158-06IL,70,107 Macon Rd.,McIntyre,31054,32.83591,-83.201727,
